Given:	CG	PT	AQ	RR	AA	CN	CE	PR	QM	OE	OC	TL
CG	1.94	1.96	-1.19	-1.04	-1.24	0.03	0.03	-1.54	0.24	-1.10	0.08	-0.63
PT	1.03	2.51	-0.62	-0.89	-0.74	0.89	-1.97	-0.83	0.49	-1.05	-0.74	-1.04
AQ	-0.29	-1.52	0.58	0.32	3.41	-1.36	2.97	-0.49	-0.09	-0.97	-1.68	-0.56
RR	-0.89	-1.56	-0.86	1.74	1.72	0.84	-0.71	-0.71	-0.84	-0.51	1.72	3.30
AA	-1.05	-1.62	-0.22	0.28	1.14	-1.39	-1.39	1.16	0.58	2.46	1.85	-0.57
CN	-0.59	-0.18	0.37	-0.76	-1.39	1.92	1.92	-0.11	-1.33	-0.81	1.16	-0.46
CE	-1.42	-0.76	2.97	0.69	0.31	-1.13	-0.11	-1.13	-0.45	0.56	0.31	1.89
PR	0.44	-1.10	1.48	-0.71	-0.40	-1.06	1.10	2.17	-0.31	0.70	-1.30	-0.43
QM	-0.95	0.58	-0.09	0.37	-0.90	-0.45	-0.45	0.44	0.74	0.24	-0.16	1.50
OE	-0.96	-0.03	-0.92	-0.51	0.28	2.15	-0.76	0.69	-0.89	3.39	-0.94	-0.31
OC	1.24	-0.42	-0.85	1.63	-0.90	0.44	0.44	1.32	-0.03	-0.95	-0.90	-0.54
TL	-0.58	-1.02	-0.56	-0.31	-0.57	-0.46	-0.46	-0.46	1.50	-0.33	3.37	-0.19
